Payer_key,Payer_id,Payer_name,Address,City,State_hq_abbr,Zip_code,Phone_number
1,047F6EC3-6215-35EB-9608-F9DDA363A44C,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654
2,42C4FCA7-F8A9-3CD1-982A-DD9751BF3E2A,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476
3,4D71F845-A6A9-3C39-B242-14D25EF86A8D,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862
4,5059A55E-5D6E-34D1-B6CB-D83D16E57BCF,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205
5,6E2F1A2D-27BD-3701-8D08-DAE202C58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583
6,7C4411CE-02F1-39B5-B9EC-DFBEA9AD3C1A,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323
7,7CAA7254-5050-3B5E-9EAE-BD5EA30E809C,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227
8,B1C428D6-4F07-31E0-90F0-68FFA6FF8C76,No_insurance,NULL,NULL,NULL,NULL,NULL
9,B3221CFC-24FB-339E-823D-BC4136CBC4ED,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323
10,D47B3510-2895-3B70-9897-342D681C769D,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799
